X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.733619,28.364685,0,0,99,2198.6,2017/07/08 00:37:52+00,,,,,,,,,,,,,,,,,,,,,
83.733601,28.364823,0,0,100,2200.9,2017/07/08 00:38:09+00,,,,,,,,,,,,,,,,,,,,,
83.733608,28.364944,0,0,101,2204.3,2017/07/08 00:38:25+00,,,,,,,,,,,,,,,,,,,,,
83.733605,28365,0,0,102,2204.8,2017/07/08 00:38:37+00,,,,,,,,,,,,,,,,,,,,,
83.733589,28.365074,0,0,103,2205.9,2017/07/08 00:38:50+00,,,,,,,,,,,,,,,,,,,,,
83.733584,28.365149,0,0,104,2206.7,2017/07/08 00:39:04+00,,,,,,,,,,,,,,,,,,,,,
83.733549,28.365232,0,0,105,2206.8,2017/07/08 00:39:18+00,,,,,,,,,,,,,,,,,,,,,
83.733558,28.365324,0,0,106,2207.1,2017/07/08 00:39:33+00,,,,,,,,,,,,,,,,,,,,,
83.733484,28.365407,0,0,107,2206.5,2017/07/08 00:39:48+00,,,,,,,,,,,,,,,,,,,,,
83.733482,28.36547,0,0,108,2206.6,2017/07/08 00:40:02+00,,,,,,,,,,,,,,,,,,,,,
83.733485,28.36549,0,0,109,2206.7,2017/07/08 00:40:19+00,,,,,,,,,,,,,,,,,,,,,
83.733489,28.365581,0,0,110,2208.7,2017/07/08 00:40:32+00,,,,,,,,,,,,,,,,,,,,,
83.733499,28.365661,0,0,111,2211.4,2017/07/08 00:40:47+00,,,,,,,,,,,,,,,,,,,,,
83.733486,28.365714,0,0,112,2213.4,2017/07/08 00:41:00+00,,,,,,,,,,,,,,,,,,,,,
83.733462,28.365781,0,0,113,2216.2,2017/07/08 00:41:13+00,,,,,,,,,,,,,,,,,,,,,
83.733469,28.365876,0,0,114,2221.3,2017/07/08 00:41:26+00,,,,,,,,,,,,,,,,,,,,,
83.733479,28.36593,0,0,115,2223.9,2017/07/08 00:41:32+00,,,,,,,,,,,,,,,,,,,,,
83.733514,28.366053,0,0,116,2225.2,2017/07/08 00:41:48+00,,,,,,,,,,,,,,,,,,,,,
83.733507,28.366088,0,0,117,2223.5,2017/07/08 00:41:53+00,,,,,,,,,,,,,,,,,,,,,
83.733472,28.366208,0,0,118,2224.1,2017/07/08 00:42:07+00,,,,,,,,,,,,,,,,,,,,,
83.733439,28.366283,0,0,119,2229.9,2017/07/08 00:42:19+00,,,,,,,,,,,,,,,,,,,,,
83.73341,28.366385,0,0,120,2234,2017/07/08 00:42:33+00,,,,,,,,,,,,,,,,,,,,,
83.733432,28.366478,0,0,121,2232,2017/07/08 00:42:45+00,,,,,,,,,,,,,,,,,,,,,
83.733457,28.3666,0,0,122,2229.5,2017/07/08 00:43:00+00,,,,,,,,,,,,,,,,,,,,,
83.733481,28.366686,0,0,123,2230.7,2017/07/08 00:43:13+00,,,,,,,,,,,,,,,,,,,,,
83.733443,28.36677,0,0,124,2232.3,2017/07/08 00:43:25+00,,,,,,,,,,,,,,,,,,,,,
83.733433,28.366895,0,0,125,2233.6,2017/07/08 00:43:39+00,,,,,,,,,,,,,,,,,,,,,
83.73344,28.367008,0,0,126,2235.9,2017/07/08 00:43:51+00,,,,,,,,,,,,,,,,,,,,,
83.733349,28.367127,0,0,127,2234.6,2017/07/08 00:44:05+00,,,,,,,,,,,,,,,,,,,,,
83.733299,28.367227,0,0,128,2234.5,2017/07/08 00:44:19+00,,,,,,,,,,,,,,,,,,,,,
